GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junitexamples,coverageexample,CoverMeWithJUnit5Tests,2,50,2,14,1,14,2,8,0,2
junitexamples,coverageexample,CoverMeWithJUnit4Tests,2,50,2,14,1,14,2,8,0,2
